Date,Open,High,Low,Close
7/8/2016,1360.45,1370.39,1335.47,1366.33
7/11/2016,1369.7,1375.34,1350.9,1355.4
7/12/2016,1355.38,1357.86,1330.41,1333.1
7/13/2016,1333.05,1345.41,1327.61,1342.64
7/14/2016,1342.65,1347.27,1320.35,1335.23
7/15/2016,1335.23,1339.15,1322.61,1337.45
7/18/2016,1332.45,1335.61,1323.55,1328.85
7/19/2016,1328.85,1335.13,1325.69,1332.01
7/20/2016,1332.01,1338.4,1312.74,1316.06
7/21/2016,1316.05,1333.97,1310.85,1331.43
7/22/2016,1331.15,1333.92,1319.77,1322.73
7/25/2016,1322.73,1323.81,1312.36,1315.6
7/26/2016,1315.6,1324.56,1313.8,1320.26
7/27/2016,1320.26,1342.52,1315.93,1340.08
7/28/2016,1339.38,1345.7,1332.6,1335.75
7/29/2016,1335.75,1355.11,1328.65,1351.28
8/1/2016,1350.39,1354.94,1346.45,1353.15
8/2/2016,1353.15,1367.34,1347.14,1363.57
8/3/2016,1363.88,1366.59,1354.29,1358.18
8/4/2016,1358.18,1365.13,1349.24,1361.15
8/5/2016,1361.15,1364.8,1334.87,1336
8/8/2016,1335.14,1338.33,1330,1335.31
8/9/2016,1335.31,1342.75,1330.67,1340.73
8/10/2016,1340.73,1357.37,1340.19,1346.61
8/11/2016,1346.52,1353.45,1335.86,1338.78
8/12/2016,1338.78,1356.29,1333.37,1335.97
8/15/2016,1337.89,1343.95,1335.8,1339.4
8/16/2016,1339.4,1358.21,1339.26,1346.24
8/17/2016,1346.09,1351.79,1337.4,1348.73
8/18/2016,1348.73,1356.18,1346.19,1352.36
8/19/2016,1352.46,1352.99,1337.88,1341.47
8/22/2016,1341.36,1341.36,1331.82,1339.09
8/23/2016,1339.04,1344.83,1335.24,1337.56
8/24/2016,1337.56,1340.24,1323.86,1324.13
8/25/2016,1324.14,1327.13,1318.18,1321.97
8/26/2016,1321.97,1342.36,1318.47,1321.18
8/29/2016,1320.8,1325.24,1314.99,1323.38
